model,category,figure_index,image_name,true_label,pred_label,prob_positive,plot_file
LightGBMXT_BAG_L1,medium,8,TN3K_test_0166.jpg,0,0,0.37249308824539185,LightGBMXT_BAG_L1_waterfall_medium_8
LightGBMXT_BAG_L1,medium,9,TN3K_test_0456.jpg,1,1,0.6272727847099304,LightGBMXT_BAG_L1_waterfall_medium_9
LightGBMXT_BAG_L1,medium,10,TN3K_test_0183.jpg,0,0,0.37376898527145386,LightGBMXT_BAG_L1_waterfall_medium_10
LightGBMXT_BAG_L1,worst,1,TN3K_test_0122.jpg,0,1,0.8510088324546814,LightGBMXT_BAG_L1_waterfall_worst_1
LightGBMXT_BAG_L1,worst,2,TN3K_test_0566.jpg,1,0,0.13584643602371216,LightGBMXT_BAG_L1_waterfall_worst_2
LightGBMXT_BAG_L1,worst,3,TN3K_test_0469.jpg,1,0,0.1209474503993988,LightGBMXT_BAG_L1_waterfall_worst_3
LightGBMXT_BAG_L1,worst,4,TN3K_test_0449.jpg,1,0,0.1056518629193306,LightGBMXT_BAG_L1_waterfall_worst_4
LightGBMXT_BAG_L1,worst,5,TN3K_test_0406.jpg,1,0,0.09929521381855011,LightGBMXT_BAG_L1_waterfall_worst_5
LightGBMXT_BAG_L1,worst,6,TN3K_test_0497.jpg,1,0,0.0807328149676323,LightGBMXT_BAG_L1_waterfall_worst_6
LightGBMXT_BAG_L1,worst,7,TN3K_test_0582.jpg,1,0,0.07955464720726013,LightGBMXT_BAG_L1_waterfall_worst_7
LightGBMXT_BAG_L1,worst,8,TN3K_test_0398.jpg,1,0,0.06759697943925858,LightGBMXT_BAG_L1_waterfall_worst_8
LightGBMXT_BAG_L1,worst,9,TN3K_test_0571.jpg,1,0,0.03569571673870087,LightGBMXT_BAG_L1_waterfall_worst_9
LightGBMXT_BAG_L1,worst,10,TN3K_test_0381.jpg,1,0,0.029179276898503304,LightGBMXT_BAG_L1_waterfall_worst_10
LightGBMXT_BAG_L1,specified,1,TN3K_test_0231.jpg,0,1,0.6843013167381287,LightGBMXT_BAG_L1_waterfall_sample_1
LightGBMXT_BAG_L1,specified,2,TN3K_test_0306.jpg,0,0,0.2389838695526123,LightGBMXT_BAG_L1_waterfall_sample_2
LightGBMXT_BAG_L1,specified,3,TN3K_test_0332.jpg,0,0,0.18680809438228607,LightGBMXT_BAG_L1_waterfall_sample_3
LightGBMXT_BAG_L1,specified,4,TN3K_test_0360.jpg,0,0,0.13315792381763458,LightGBMXT_BAG_L1_waterfall_sample_4
LightGBMXT_BAG_L1,specified,5,TN3K_test_0586.jpg,1,1,0.6006864905357361,LightGBMXT_BAG_L1_waterfall_sample_5
LightGBMXT_BAG_L1,specified,6,TN3K_test_0606.jpg,1,1,0.6476768255233765,LightGBMXT_BAG_L1_waterfall_sample_6
